"Date","Price","Open","High","Low","Vol.","Change %"
"10/03/2024","92.55","92.38","94.50","91.52","45.80K","1.16%"
"10/02/2024","91.49","94.00","94.00","90.12","64.01K","-1.61%"
"10/01/2024","92.99","93.80","94.00","92.50","186.66K","-1.05%"
"09/30/2024","93.98","92.70","94.95","92.00","16.97K","1.60%"
"09/27/2024","92.50","95.06","97.66","92.05","67.83K","-3.65%"
"09/26/2024","96.00","93.01","98.60","93.01","151.63K","-1.03%"
"09/25/2024","97.00","94.00","99.50","93.21","54.39K","3.19%"
"09/24/2024","94.00","94.57","94.75","93.40","11.51K","-0.59%"
"09/23/2024","94.56","95.03","95.99","94.00","33.87K","-1.50%"
"09/20/2024","96.00","96.87","97.32","95.31","32.26K","-0.69%"
"09/19/2024","96.67","96.95","96.95","95.00","41.73K","0.70%"
"09/18/2024","96.00","96.20","96.50","95.30","34.77K","-1.17%"
"09/16/2024","97.14","99.00","99.00","90.10","98.07K","0.25%"
"09/13/2024","96.90","97.05","99.00","96.50","55.35K","0.94%"
"09/12/2024","96.00","96.99","98.10","96.00","147.76K","-0.31%"
"09/11/2024","96.30","97.00","97.50","96.18","42.96K","-1.23%"
"09/10/2024","97.50","97.00","99.41","96.43","36.59K","-0.51%"
"09/09/2024","98.00","96.00","99.99","94.68","112.17K","3.59%"
"09/06/2024","94.60","96.00","97.40","94.60","52.22K","-1.66%"
"09/05/2024","96.20","95.50","96.20","94.11","33.23K","1.26%"
"09/04/2024","95.00","95.85","96.00","95.00","178.52K","0.00%"
"09/03/2024","95.00","94.70","95.29","93.01","194.51K","0.64%"
"09/02/2024","94.40","96.00","98.75","94.00","65.14K","-1.67%"
"08/30/2024","96.00","96.99","96.99","95.10","29.84K","-0.32%"
"08/29/2024","96.31","96.00","96.32","95.00","45.65K","1.27%"
"08/28/2024","95.10","95.03","96.50","94.50","62.67K","-0.93%"
"08/27/2024","95.99","96.00","97.00","95.00","66.62K","-0.01%"
"08/26/2024","96.00","94.90","97.40","92.10","38.02K","-0.93%"
"08/23/2024","96.90","95.56","98.45","95.56","43.21K","-1.02%"
"08/22/2024","97.90","95.95","98.00","95.05","32.83K","4.13%"
"08/21/2024","94.02","93.25","95.24","93.25","12.03K","0.02%"
"08/20/2024","94.00","94.00","94.90","93.50","35.28K","0.84%"
"08/19/2024","93.22","95.00","96.98","93.02","54.39K","0.12%"
"08/16/2024","93.11","92.99","98.00","92.00","131.27K","0.55%"
"08/15/2024","92.60","92.00","92.92","91.50","40.16K","-0.42%"
"08/13/2024","92.99","92.98","92.99","91.50","57.12K","1.08%"
"08/12/2024","92.00","93.00","93.51","91.50","40.95K","-1.06%"
"08/09/2024","92.99","93.25","94.00","91.60","40.92K","-0.01%"
"08/08/2024","93.00","93.98","94.00","92.21","31.36K","0.11%"
"08/07/2024","92.90","93.00","94.00","92.90","37.17K","2.64%"
"08/06/2024","90.51","94.50","95.00","90.51","44.85K","-1.84%"
"08/05/2024","92.21","96.00","96.00","92.21","37.98K","-3.43%"
"08/02/2024","95.49","94.60","95.98","94.20","43.38K","0.52%"
"08/01/2024","95.00","95.49","95.49","93.95","44.99K","1.60%"
"07/31/2024","93.50","94.00","94.50","93.00","35.78K","-1.06%"
